name,color
Archidamus,"d3.hsl(185, 1, 0.2)"
Camillo,"d3.hsl(185, 1, 0.221428571429)"
Polixenes,"d3.hsl(185, 1, 0.242857142857)"
Leontes,"d3.hsl(185, 1, 0.264285714286)"
Hermione,"d3.hsl(185, 1, 0.285714285714)"
Mamillius,"d3.hsl(185, 1, 0.307142857143)"
First lady,"d3.hsl(185, 1, 0.328571428571)"
Second lady,"d3.hsl(185, 1, 0.35)"
First lord,"d3.hsl(185, 1, 0.371428571429)"
Antigonus,"d3.hsl(185, 1, 0.392857142857)"
Paulina,"d3.hsl(185, 1, 0.414285714286)"
Gaoler,"d3.hsl(185, 1, 0.435714285714)"
Emilia,"d3.hsl(185, 1, 0.457142857143)"
First servant,"d3.hsl(185, 1, 0.478571428571)"
Second servant,"d3.hsl(185, 1, 0.5)"
Lords,"d3.hsl(185, 1, 0.521428571429)"
Servant,"d3.hsl(185, 1, 0.542857142857)"
Cleomenes,"d3.hsl(185, 1, 0.564285714286)"
Dion,"d3.hsl(185, 1, 0.585714285714)"
Officer,"d3.hsl(185, 1, 0.607142857143)"
Mariner,"d3.hsl(185, 1, 0.628571428571)"
Shepherd,"d3.hsl(185, 1, 0.65)"
Clown,"d3.hsl(185, 1, 0.671428571429)"
Time,"d3.hsl(185, 1, 0.692857142857)"
Autolycus,"d3.hsl(185, 1, 0.714285714286)"
Florizel,"d3.hsl(185, 1, 0.735714285714)"
Perdita,"d3.hsl(185, 1, 0.757142857143)"
Dorcas,"d3.hsl(185, 1, 0.778571428571)"
Mopsa,"d3.hsl(185, 1, 0.8)"
Shepard,"d3.hsl(185, 1, 0.821428571429)"
Gentleman,"d3.hsl(185, 1, 0.842857142857)"
Lord,"d3.hsl(185, 1, 0.864285714286)"
First gentleman,"d3.hsl(185, 1, 0.885714285714)"
Second gentleman,"d3.hsl(185, 1, 0.907142857143)"
Third gentleman,"d3.hsl(185, 1, 0.928571428571)"
